Date,Value
2-Mar-17,1316000
1-Mar-17,2120000
30-Dec-16,1166000
29-Dec-16,783843
28-Dec-16,911281
27-Dec-16,571286
23-Dec-16,567006
22-Dec-16,1036000
21-Dec-16,934937
20-Dec-16,881441
19-Dec-16,877079
16-Dec-16,1433000
15-Dec-16,1312000
14-Dec-16,1461000
13-Dec-16,1588000
12-Dec-16,1260000
9-Dec-16,1611000
8-Dec-16,1858000
7-Dec-16,1735000
6-Dec-16,974101
5-Dec-16,995162
2-Dec-16,1103000
1-Dec-16,944999
30-Nov-16,1265000
31-Dec-15,943882
30-Dec-15,644697
29-Dec-15,734479
28-Dec-15,472874
24-Dec-15,462036
23-Dec-15,1012000
22-Dec-15,871728
21-Dec-15,802309
18-Dec-15,1156000
17-Dec-15,1271000
16-Dec-15,1294000
15-Dec-15,1090000
14-Dec-15,1348000
11-Dec-15,1702000
10-Dec-15,1006000
9-Dec-15,1070000
8-Dec-15,670998
7-Dec-15,712744
4-Dec-15,1308000
3-Dec-15,1379000
2-Dec-15,1088000
