Date,S&P_500,returns
2018-11-08,2806.83,-0.0025089822274502183
2018-11-09,2781.01,-0.009198989607493102
2018-11-12,2726.22,-0.019701475363267495
2018-11-13,2722.18,-0.001481905348797996
2018-11-14,2701.58,-0.007567464311691308
2018-11-15,2730.2,0.010593800664796094
2018-11-16,2736.27,0.0022232803457622463
2018-11-19,2690.73,-0.016643094431470606
2018-11-20,2641.89,-0.018151208036480848
2018-11-21,2649.93,0.00304327583661701
2018-11-23,2632.56,-0.006554890129173208
2018-11-26,2673.45,0.015532409517731827
2018-11-27,2682.17,0.003261703042884756
2018-11-28,2743.79,0.02297393528374414
2018-11-29,2737.76,-0.0021976900564546487
2018-11-30,2760.17,0.00818552393197347
2018-12-03,2790.37,0.010941355061463431
2018-12-04,2700.06,-0.03236488351007216
2018-12-06,2695.95,-0.0015221883958135285
2018-12-07,2633.08,-0.02332016543333515
2018-12-10,2637.72,0.001762194844060927
2018-12-11,2636.78,-0.00035636837875119287
2018-12-12,2651.07,0.005419488922094429
2018-12-13,2650.54,-0.00019991927787654795
2018-12-14,2599.95,-0.019086676677205427
2018-12-17,2545.94,-0.020773476413007863
2018-12-18,2546.16,8.641209140813899e-05
2018-12-19,2506.96,-0.015395733182517968
2018-12-20,2467.42,-0.015772090500047797
2018-12-21,2416.62,-0.020588306814405377
2018-12-24,2351.1,-0.02711224768478282
2018-12-26,2467.7,0.049593807154098
2018-12-27,2488.83,0.008562629168861635
2018-12-28,2485.74,-0.0012415472330372657
2018-12-31,2506.85,0.008492440882795549
2019-01-02,2510.03,0.0012685242435728217
2019-01-03,2447.89,-0.02475667621502542
2019-01-04,2531.94,0.0343356931888279
2019-01-07,2549.69,0.00701043468644591
2019-01-08,2574.41,0.009695296290921585
2019-01-09,2584.96,0.0040980263439003295
2019-01-10,2596.64,0.004518445159692908
2019-01-11,2596.26,-0.00014634296629478794
2019-01-14,2582.61,-0.005257562801876614
2019-01-15,2610.3,0.010721711756711327
2019-01-16,2616.1,0.002221966823736654
2019-01-17,2635.96,0.007591452926111408
2019-01-18,2670.71,0.013183052853609212
2019-01-22,2632.9,-0.014157284018107563
2019-01-23,2638.7,0.0022028941471379238
2019-01-24,2642.33,0.001375677416909804
2019-01-25,2664.76,0.0084887201825663
2019-01-28,2643.85,-0.0078468605052614
2019-01-29,2640.0,-0.001456209694195909
2019-01-30,2681.05,0.015549242424242493
2019-01-31,2704.1,0.008597377892989533
2019-02-01,2706.53,0.000898635405495396
2019-02-04,2724.87,0.006776204217207926
2019-02-05,2737.7,0.004708481505539597
2019-02-06,2731.61,-0.002224495014062744
2019-02-07,2706.05,-0.009357119061652264
2019-02-08,2707.88,0.0006762624489569102
2019-02-11,2709.8,0.0007090417596054
